record_kind,name,source_file,line,model_kind,bases,field_or_key_definition,collection_name,ownership_type,tenant_field,persistence_reference_count,index_name,index_options,governed_query_registry,static_usage_count,notes
collection,adm_risk_events,backend/database.py,371,,,,adm_risk_events,legacy_agency_owned_startup_registry,agency_id,12,,,no,,startup_index_count=9; source_files=backend/database.py;backend/routers/platform.py;backend/server.py
collection,after_sales_case_items,backend/database.py,371,,,,after_sales_case_items,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=8; source_files=backend/database.py;backend/services/after_sales_workflow_service.py
collection,after_sales_cases,backend/database.py,371,,,,after_sales_cases,legacy_agency_owned_startup_registry,agency_id,24,,,no,,startup_index_count=12; source_files=backend/database.py;backend/services/after_sales_workflow_service.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py
collection,after_sales_communication_records,backend/database.py,371,,,,after_sales_communication_records,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/after_sales_workflow_service.py;backend/services/airline_contact_communication_intelligence_service.py
collection,after_sales_decisions,backend/database.py,371,,,,after_sales_decisions,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/after_sales_workflow_service.py
collection,after_sales_financial_impacts,backend/database.py,371,,,,after_sales_financial_impacts,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/after_sales_workflow_service.py
collection,after_sales_resolutions,backend/database.py,371,,,,after_sales_resolutions,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/after_sales_workflow_service.py
collection,agencies,backend/routers/agencies.py,442,,,,agencies,platform_global,,71,,,yes,,startup_index_count=2; source_files=backend/database.py;backend/persistence_query.py;backend/routers/agencies.py;backend/routers/auth.py;backend/routers/documents.py;backend/routers/platform.py;backend/routers/platform_reference.py;backend/routers/websites.py;backend/scripts/smoke_pilot_operations_release_readiness.py;backend/services/airline_capability_matrix_service.py;backend/services/airline_knowledge_acquisition_service.py;backend/services/airline_knowledge_governance_service.py
collection,agency_airline_overrides,backend/database.py,371,,,,agency_airline_overrides,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=3; source_files=backend/database.py;backend/routers/airline_intelligence.py;backend/routers/platform.py;backend/services/seed_service.py
collection,agency_branding_assets,backend/database.py,371,,,,agency_branding_assets,legacy_agency_owned_startup_registry,agency_id,9,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/agencies.py;backend/routers/platform.py;backend/server.py
collection,agency_branding_settings,backend/database.py,371,,,,agency_branding_settings,legacy_agency_owned_startup_registry,agency_id,23,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/agencies.py;backend/routers/platform.py;backend/routers/websites.py;backend/server.py
collection,agency_email_settings,backend/database.py,371,,,,agency_email_settings,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=3; source_files=backend/database.py;backend/routers/documents.py;backend/services/delivery_provider_service.py;backend/services/seed_service.py
collection,agency_entitlement_readiness,backend/database.py,371,,,,agency_entitlement_readiness,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/saas_subscription_service.py
collection,agency_feature_bundle_assignment_history,backend/database.py,371,,,,agency_feature_bundle_assignment_history,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=5; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_bundle_assignment_service.py
collection,agency_feature_bundle_assignments,backend/database.py,371,,,,agency_feature_bundle_assignments,legacy_agency_owned_startup_registry,agency_id,25,,,no,,startup_index_count=6; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_bundle_assignment_service.py;backend/services/capability_catalog_service.py;backend/services/feature_bundle_rollout_plan_service.py;backend/services/feature_bundle_rollout_readiness_service.py
collection,agency_feature_bundle_rollout_plans,backend/database.py,371,,,,agency_feature_bundle_rollout_plans,legacy_agency_owned_startup_registry,agency_id,52,,,no,,startup_index_count=7; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/feature_bundle_dependency_service.py;backend/services/feature_bundle_rollout_approval_service.py;backend/services/feature_bundle_rollout_change_request_service.py;backend/services/feature_bundle_rollout_decision_service.py;backend/services/feature_bundle_rollout_issue_service.py;backend/services/feature_bundle_rollout_plan_service.py;backend/services/feature_bundle_rollout_risk_service.py;backend/services/feature_bundle_rollout_rollback_plan_service.py;backend/services/feature_bundle_rollout_schedule_service.py
collection,agency_feature_bundle_rollout_readiness,backend/database.py,371,,,,agency_feature_bundle_rollout_readiness,legacy_agency_owned_startup_registry,agency_id,18,,,no,,startup_index_count=6; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/feature_bundle_rollout_plan_service.py;backend/services/feature_bundle_rollout_readiness_service.py
collection,agency_feature_flag_audits,backend/database.py,371,,,,agency_feature_flag_audits,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_audit_service.py
collection,agency_feature_flag_bundle_reviews,backend/database.py,371,,,,agency_feature_flag_bundle_reviews,legacy_agency_owned_startup_registry,agency_id,9,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_bundle_service.py
collection,agency_feature_flag_bundles,backend/database.py,371,,,,agency_feature_flag_bundles,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_bundle_service.py
collection,agency_feature_flag_readiness,backend/database.py,371,,,,agency_feature_flag_readiness,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_audit_service.py
collection,agency_feature_flag_reviews,backend/database.py,371,,,,agency_feature_flag_reviews,legacy_agency_owned_startup_registry,agency_id,9,,,no,,startup_index_count=3; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_service.py
collection,agency_feature_flag_snapshots,backend/database.py,371,,,,agency_feature_flag_snapshots,legacy_agency_owned_startup_registry,agency_id,9,,,no,,startup_index_count=3; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_service.py
collection,agency_feature_flags,backend/database.py,371,,,,agency_feature_flags,legacy_agency_owned_startup_registry,agency_id,22,,,no,,startup_index_count=5; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/agency_feature_flag_service.py;backend/services/capability_catalog_service.py;backend/services/feature_bundle_rollout_change_request_service.py;backend/services/feature_bundle_rollout_rollback_plan_service.py
collection,agency_form_field_settings,backend/database.py,371,,,,agency_form_field_settings,legacy_agency_owned_startup_registry,agency_id,12,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/form_profiles.py;backend/routers/platform.py;backend/server.py;backend/services/form_profile_service.py
collection,agency_form_profiles,backend/database.py,371,,,,agency_form_profiles,legacy_agency_owned_startup_registry,agency_id,19,,,no,,startup_index_count=5; source_files=backend/database.py;backend/routers/form_profiles.py;backend/routers/platform.py;backend/server.py;backend/services/form_profile_service.py
collection,agency_staff_memberships,backend/auth.py,199,,,,agency_staff_memberships,legacy_agency_owned_startup_registry,agency_id,27,,,no,,startup_index_count=3; source_files=backend/auth.py;backend/database.py;backend/routers/agencies.py;backend/routers/auth.py;backend/routers/documents.py;backend/routers/platform.py;backend/routers/reference.py;backend/routers/request_intakes.py;backend/services/seed_service.py;backend/services/tenant_service.py
collection,agency_subscription_assignments,backend/database.py,371,,,,agency_subscription_assignments,legacy_agency_owned_startup_registry,agency_id,15,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/saas_subscription_service.py
collection,agency_subscription_review_notes,backend/database.py,371,,,,agency_subscription_review_notes,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/saas_subscription_service.py
collection,agency_subscription_snapshots,backend/database.py,371,,,,agency_subscription_snapshots,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/saas_subscription_service.py
collection,agency_website_media_assets,backend/database.py,371,,,,agency_website_media_assets,legacy_agency_owned_startup_registry,agency_id,13,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/platform.py;backend/routers/websites.py;backend/server.py
collection,agency_website_pages,backend/database.py,371,,,,agency_website_pages,legacy_agency_owned_startup_registry,agency_id,22,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/platform.py;backend/routers/websites.py;backend/server.py
collection,agency_website_settings,backend/database.py,371,,,,agency_website_settings,legacy_agency_owned_startup_registry,agency_id,19,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/agencies.py;backend/routers/platform.py;backend/routers/websites.py;backend/server.py
collection,agency_workspaces,backend/database.py,371,,,,agency_workspaces,legacy_agency_owned_startup_registry,agency_id,30,,,no,,startup_index_count=2; source_files=backend/database.py;backend/routers/agencies.py;backend/routers/auth.py;backend/routers/form_profiles.py;backend/routers/platform.py;backend/routers/websites.py;backend/services/document_context_service.py;backend/services/document_rendering_service.py;backend/services/request_intake_conversion_service.py;backend/services/request_normalization_service.py;backend/services/seed_service.py;backend/services/tenant_service.py
collection,ai_trace_events,backend/database.py,371,,,,ai_trace_events,legacy_agency_owned_startup_registry,agency_id,8,,,no,,startup_index_count=5; source_files=backend/database.py;backend/routers/platform.py;backend/server.py
collection,aircraft_configurations,backend/services/airline_intelligence_data_pack_review_service.py,38,,,,aircraft_configurations,not_in_governed_query_registry,,4,,,no,,startup_index_count=3; source_files=backend/database.py;backend/services/airline_intelligence_data_pack_review_service.py
collection,aircraft_seatmaps,backend/services/airline_intelligence_data_pack_review_service.py,38,,,,aircraft_seatmaps,not_in_governed_query_registry,,4,,,no,,startup_index_count=3; source_files=backend/database.py;backend/services/airline_intelligence_data_pack_review_service.py
collection,aircraft_tail_numbers,backend/services/airline_intelligence_data_pack_review_service.py,38,,,,aircraft_tail_numbers,not_in_governed_query_registry,,4,,,no,,startup_index_count=3; source_files=backend/database.py;backend/services/airline_intelligence_data_pack_review_service.py
collection,airline_ancillaries,backend/services/airline_fare_family_brand_intelligence_service.py,752,,,,airline_ancillaries,not_in_governed_query_registry,,6,,,no,,startup_index_count=3; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_intelligence_data_pack_review_service.py;backend/services/rules_and_services_registry.py
collection,airline_ancillary_price_components,backend/routers/platform.py,92,,,,airline_ancillary_price_components,not_in_governed_query_registry,,7,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/ancillary_pricing_service.py
collection,airline_ancillary_pricing_applicability,backend/routers/platform.py,93,,,,airline_ancillary_pricing_applicability,not_in_governed_query_registry,,7,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/ancillary_pricing_service.py
collection,airline_ancillary_pricing_matrices,backend/routers/platform.py,94,,,,airline_ancillary_pricing_matrices,not_in_governed_query_registry,,7,,,no,,startup_index_count=4; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/ancillary_pricing_service.py
collection,airline_ancillary_pricing_matrix_rows,backend/routers/platform.py,95,,,,airline_ancillary_pricing_matrix_rows,not_in_governed_query_registry,,8,,,no,,startup_index_count=5; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/ancillary_pricing_service.py
collection,airline_ancillary_pricing_rules,backend/routers/platform.py,91,,,,airline_ancillary_pricing_rules,not_in_governed_query_registry,,9,,,no,,startup_index_count=6; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/ancillary_pricing_service.py
collection,airline_baggage_allowance_rules,backend/database.py,371,,,,airline_baggage_allowance_rules,legacy_agency_owned_startup_registry,agency_id,14,,,no,,startup_index_count=7; source_files=backend/database.py;backend/scripts/smoke_journey_option_fare_brand_composition_workspace_foundation.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_intelligence_scale_readiness_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_baggage_exceptions,backend/database.py,371,,,,airline_baggage_exceptions,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_baggage_responsibility_rules,backend/database.py,371,,,,airline_baggage_responsibility_rules,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py;backend/services/interline_codeshare_intelligence_service.py
collection,airline_booking_class_mappings,backend/database.py,371,,,,airline_booking_class_mappings,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_brand_assets,backend/routers/platform.py,235,,,,airline_brand_assets,not_in_governed_query_registry,,7,,,no,,startup_index_count=3; source_files=backend/database.py;backend/routers/platform.py;backend/server.py;backend/services/airline_intelligence_data_pack_review_service.py
collection,airline_brand_comparison_profiles,backend/database.py,371,,,,airline_brand_comparison_profiles,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_capability_matrix,backend/database.py,371,,,,airline_capability_matrix,legacy_agency_owned_startup_registry,agency_id,55,,,no,,startup_index_count=41; source_files=backend/database.py;backend/server.py;backend/services/airline_capability_matrix_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_master_profile_intelligence_service.py;backend/services/airline_policy_evidence_governance_service.py;backend/services/airline_service_coverage_gap_service.py;backend/services/pilot_readiness_service.py
collection,airline_carrier_relationships,backend/database.py,371,,,,airline_carrier_relationships,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=7; source_files=backend/database.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py;backend/services/interline_codeshare_intelligence_service.py
collection,airline_codeshare_rules,backend/database.py,371,,,,airline_codeshare_rules,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py;backend/services/interline_codeshare_intelligence_service.py
collection,airline_commercial_bundles,backend/database.py,371,,,,airline_commercial_bundles,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_fare_family_brand_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_communication_requirements,backend/database.py,371,,,,airline_communication_requirements,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_communication_templates,backend/database.py,371,,,,airline_communication_templates,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contact_availabilities,backend/database.py,371,,,,airline_contact_availabilities,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=5; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contact_channels,backend/database.py,371,,,,airline_contact_channels,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contact_directory_entries,backend/services/journey_option_fare_brand_composition_service.py,1208,,,,airline_contact_directory_entries,not_in_governed_query_registry,,1,,,no,,startup_index_count=0; source_files=backend/services/journey_option_fare_brand_composition_service.py
collection,airline_contact_escalation_paths,backend/database.py,371,,,,airline_contact_escalation_paths,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=5; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contact_scopes,backend/database.py,371,,,,airline_contact_scopes,legacy_agency_owned_startup_registry,agency_id,11,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contact_verifications,backend/database.py,371,,,,airline_contact_verifications,legacy_agency_owned_startup_registry,agency_id,10,,,no,,startup_index_count=6; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_contacts,backend/database.py,371,,,,airline_contacts,legacy_agency_owned_startup_registry,agency_id,16,,,no,,startup_index_count=9; source_files=backend/database.py;backend/services/airline_contact_communication_intelligence_service.py;backend/services/airline_intelligence_data_pack_review_service.py;backend/services/airline_intelligence_scale_readiness_service.py;backend/services/airline_knowledge_versioning_service.py;backend/services/airline_master_profile_intelligence_service.py;backend/services/airline_policy_evidence_governance_service.py
collection,airline_coverage_assessments,backend/database.py,371,,,,airline_coverage_assessments,mixed_projection,agency_id,12,,,yes,,startup_index_count=6; source_files=backend/database.py;backend/persistence_query.py;backend/services/airline_service_coverage_gap_service.py
collection,airline_coverage_remediation_plans,backend/database.py,371,,,,airline_coverage_remediation_plans,mixed_projection,agency_id,13,,,yes,,startup_index_count=7; source_files=backend/database.py;backend/persistence_query.py;backend/services/airline_service_coverage_gap_service.py
