document_type,title_or_name,source_file,line_count,phase_references,route_reference_count,code_path_references,missing_code_path_reference_count,notes
root_or_other,Airline Intelligence Model,AIRLINE_INTELLIGENCE_MODEL.md,355,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Build Phases,BUILD_PHASES.md,2528,PHASE_8_STABILIZATION_AUDIT;phase_50_0_airline_operational_intelligence_engine_architecture_foundation;phase_56_3_journey_comparison_client_presentation_foundation;phase_56_4_offer_delivery_client_interaction_foundation;phase_56_5_1_regression_integrity_foundation;phase_56_5_2_legacy_regression_suite_migration;phase_56_5_3_github_actions_continuous_integration_foundation;phase_56_5_4_authentication_security_http_hardening_foundation;phase_56_5_5_mongodb_security_backup_disaster_recovery_foundation;phase_56_5_6_persistence_scalability_tenant_query_hardening_foundation;phase_56_5_7_observability_diagnostics_performance_telemetry_foundation;phase_56_5_8_final_stabilization_pilot_release_gate;phase_57_0_pilot_operations_release_readiness;phase_57_1_production_evidence_pilot_sign_off_completion,229,backend/build_phase.py;backend/scripts/bootstrap_reference_data.py;docs/architecture/agency-feature-flag-audit-foundation.md;docs/architecture/agency-feature-flag-bundle-foundation.md;docs/architecture/agency-feature-flags-foundation.md;docs/architecture/airline-intelligence-agency-consumption-bridge.md;docs/architecture/airline-intelligence-data-pack-foundation.md;docs/architecture/airline-intelligence-data-pack-review-foundation.md;docs/architecture/airline-intelligence-knowledge-versioning-foundation.md;docs/architecture/airline-knowledge-acquisition-workspace-foundation.md;docs/architecture/airline-knowledge-normalisation-foundation.md;docs/architecture/airline-operational-capability-matrix-foundation.md;docs/architecture/airline-operational-knowledge-governance-foundation.md;docs/architecture/airline-recommendation-engine-foundation.md;docs/architecture/authentication-security-http-hardening-foundation.md;docs/architecture/booking-workspace-foundation.md;docs/architecture/capability-catalog-foundation.md;docs/architecture/document-workspace-foundation.md;docs/architecture/emd-workspace-foundation.md;docs/architecture/feature-bundle-assignment-foundation.md;docs/architecture/feature-bundle-dependency-foundation.md;docs/architecture/feature-bundle-rollout-approval-foundation.md;docs/architecture/feature-bundle-rollout-change-request-foundation.md;docs/architecture/feature-bundle-rollout-decision-register-foundation.md;docs/architecture/feature-bundle-rollout-issue-log-foundation.md;docs/architecture/feature-bundle-rollout-plan-foundation.md;docs/architecture/feature-bundle-rollout-readiness-foundation.md;docs/architecture/feature-bundle-rollout-risk-register-foundation.md;docs/architecture/feature-bundle-rollout-rollback-plan-foundation.md;docs/architecture/feature-bundle-rollout-schedule-foundation.md;docs/architecture/feature-bundle-rollout-summary-pack-foundation.md;docs/architecture/feature-bundle-rollout-timeline-foundation.md;docs/architecture/final-stabilization-pilot-release-gate.md;docs/architecture/flight-workspace-foundation.md;docs/architecture/foundations/;docs/architecture/github-actions-continuous-integration-foundation.md;docs/architecture/intelligent-offer-builder-integration-foundation.md;docs/architecture/legacy-regression-suite-migration.md;docs/architecture/mongodb-security-backup-disaster-recovery-foundation.md;docs/architecture/observability-diagnostics-performance-telemetry-foundation.md;docs/architecture/offer-decision-export-audit-review-foundation.md;docs/architecture/offer-decision-export-compliance-foundation.md;docs/architecture/offer-decision-export-governance-foundation.md;docs/architecture/offer-delivery-client-interaction-foundation.md;docs/architecture/offer-workspace-foundation.md;docs/architecture/operational-constraint-engine-foundation.md;docs/architecture/operational-knowledge-evaluation-engine-foundation.md;docs/architecture/operational-timeline-workspace-foundation.md;docs/architecture/operational-travel-workspace-foundation.md;docs/architecture/passenger-service-feasibility-engine-foundation.md;docs/architecture/passenger-service-workflow-engine-foundation.md;docs/architecture/passenger-workspace-foundation.md;docs/architecture/persistence-scalability-tenant-query-hardening-foundation.md;docs/architecture/phase-marker-regression-integrity-foundation.md;docs/architecture/pilot-operations-release-readiness.md;docs/architecture/platform-agency-ux-consolidation.md;docs/architecture/product-surface-workspace-governance.md;docs/architecture/production-evidence-pilot-sign-off-completion.md;docs/architecture/rollout-dashboard-foundation.md;docs/architecture/saas-subscription-entitlement-foundation.md;docs/architecture/ssr-osi-operational-workspace-foundation.md;docs/architecture/subscription-entitlement-ui-guardrails.md;docs/architecture/ticket-workspace-foundation.md;docs/architecture/travel-request-workspace-foundation.md;docs/architecture/trip-workspace-foundation.md,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Canonical Data Model,CANONICAL_DATA_MODEL.md,489,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Hostinger VPS Deployment,DEPLOYMENT_HOSTINGER_VPS.md,366,,3,deploy/hostinger/FIRST_DEPLOYMENT_CHECKLIST.md;deploy/hostinger/OPERATIONS_RUNBOOK.md;deploy/hostinger/POST_DEPLOYMENT_SECURITY_CHECKLIST.md;deploy/hostinger/REAL_DEPLOYMENT_NOTES.md;deploy/hostinger/TROUBLESHOOTING.md;deploy/hostinger/nginx/aeroassist.conf.example;deploy/hostinger/scripts/backup_all.sh;deploy/hostinger/scripts/backup_exports.sh;deploy/hostinger/scripts/backup_mongo.sh;deploy/hostinger/scripts/deploy.sh;deploy/hostinger/scripts/healthcheck.sh;deploy/hostinger/scripts/logs.sh;deploy/hostinger/scripts/preflight.sh;deploy/hostinger/scripts/prune_backups.sh;deploy/hostinger/scripts/restart.sh;deploy/hostinger/scripts/restore_mongo.md;deploy/hostinger/scripts/smoke_production.sh;deploy/hostinger/scripts/status.sh;deploy/hostinger/scripts/status_full.sh;deploy/hostinger/scripts/verify_backups.sh;deploy/hostinger/systemd/aeroassist-backup-verify.service;deploy/hostinger/systemd/aeroassist-backup-verify.timer;deploy/hostinger/systemd/aeroassist-backup.service;deploy/hostinger/systemd/aeroassist-backup.timer,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Navigation Model,NAVIGATION_MODEL.md,87,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Open Questions,OPEN_QUESTIONS.md,69,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Permissions And Tenancy,PERMISSIONS_AND_TENANCY.md,243,,0,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 10 Production Authentication And Invitation Flow,PHASE_10_AUTH_INVITATIONS_IMPLEMENTATION.md,75,,8,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 11 Controlled Client Portal Actions,PHASE_11_PORTAL_ACTIONS_IMPLEMENTATION.md,61,,11,,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
root_or_other,Phase 12 Refund and Exchange Tracking,PHASE_12_REFUND_EXCHANGE_IMPLEMENTATION.md,119,,18,backend/models.py;backend/routers/refunds_exchanges.py;backend/server.py;backend/services/seed_service.py;frontend/src/App.jsx;frontend/src/components/RefundExchangeStatusBadge.jsx;frontend/src/layouts/AgencyLayout.jsx;frontend/src/layouts/ClientPortalLayout.jsx;frontend/src/pages/agency/RefundExchangeCaseCreatePage.jsx;frontend/src/pages/agency/RefundExchangeCaseDetailPage.jsx;frontend/src/pages/agency/RefundExchangeCasesPage.jsx;frontend/src/pages/portal/PortalRefundExchangeCaseDetailPage.jsx;frontend/src/pages/portal/PortalRefundExchangeCasesPage.jsx,0,Only existing repository paths are listed; prose compounds and wildcard examples are excluded from missing-path claims.
